.,Italian
EventResEntregarObj1.text,"\nIl gatto è in piedi sulle zampe posteriori e con le sue zampe che ora sembrano umane, apre il rotolo. e parla in tono serio:\n\n<i> -Ho pensato che sarebbe stato avvolto. Non è quello che sto cercando, non perdere tempo .- </i>\n\nE si siede di nuovo.\n\nSubisci 1 orrore ({will} -1 nega). Ottieni 1 {clue} poi posiziona il segnalino del gatto come indicato.\n"
EventResEntregarObj1.button1,Continua
EventResEntregarObj2.text,"<i> \n- Sembra che nessun uccello nascerà da questo uovo. Non è ciò di cui ho bisogno, ma lo terrò comunque. Troppa potenza in mani così piccole. - </i> Con una grazia felina ti strappa l'oggetto dalle mani e si risiede ..\n\n  Scarta l'oggetto comune<b> Protezione degli Antichi </b>.\nSubisci 1 orrore ({will} -1 nega). Ottieni 1 {clue}, poi piazza il segnalino gatto come indicato.\n"
EventResEntregarObj2.button1,Continua
EventResEntregarDaga.text,"\nGli mostri il pugnale decorato. Il gatto abbassa la testa e le sue dimensioni iniziano ad aumentare. Il suo pelo lascia il posto alla pelle e gli artigli si trasformano in mani e piedi. La figura snella di una giovane donna sta davanti a te. Ti sorride e noti che i suoi occhi sembrano quelli di un gatto. Due orecchie di gatto sporgono tra la sua chioma scura:\n\n- <i> Sarà furioso, ma finalmente l'ho recuperato. Bel lavoro, Sognatore. - </i>\n\nSubisci 2 orrori ({will} nega). Ottieni 1 {clue}. Rimuovi il segnalino del gatto e piazza un segnalino Persona come indicato.\n"
EventResEntregarDaga.button1,Continua
EventBlessBast.text,"<i> - Va bene, ma sbrigati. </i> -\n\nLa donna preme il dito indice al centro della tua fronte ed inizia a brillare, rimani immobile mentre il suo dito diventa sempre più caldo, bruciandoti lentamente.\n\n<i> - Beh, penso che così faremo prima. </i> -\n\nDice togliendo il dito con un sorriso affabile.\n \nL'Investigatore attivo subisce 1 danno e 1 orrore, quindi può scartare una carta <b>Impazzito</b> da qualsiasi altro giocatore.   Posiziona un segnalino Persona come indicato."
EventMythosInvernaderoNoINV.text,"\nSenti dei passi dall'altra parte della porta, ma all'improvviso si fermano.\n\nScarta il segnalino personaggio."
EventMythosInvernaderoNoINV.button1,Continua
EventMythosBiblioteca5.text,"\nDall'altra parte della porta senti la voce di una ragazza che si dispera finché non c'è silenzio.\nScarta il segnalino personaggio."
EventMythosBiblioteca5.button1,Continua
EventPreResTextVerde.text,"\nUn libro squisitamente rilegato in pelle decorato con filigrana d'oro. La copertina è vecchia e il lato delle pagine sembra abbastanza rovinato."
EventPreResTextVerde.button1,{action} Esamina
EventPreResTextVerde.button2,Non fare nulla
EventSalirHabPrevio.text,"\nLa chiave entra perfettamente. Con il suono del chiavistello che si sblocca, sei pieno di speranza di trovare un po' d'aria fresca dall'altra parte."
EventSalirHabPrevio.button1,Continua
EventInfoResuelta.text,"\nEsamini nuovamente il libro. È scritto a mano. Nelle prime pagine ci sono elenchi lunghi e ordinati e, sebbene non si conosca il codice o i caratteri utilizzati, sembrano una sorta di catalogo.\nSfogli attentamente le pagine, diventando più caotiche. La scrittura delicata e strutturata si trasforma in frasi di diverso stile e linguaggio, sicuramente scritte da più persone, alcune più sane di altre ...\nLe poche parole che riesci a riconoscere e decifrare sono di disperazione e angoscia per essere intrappolato in una <i> scatola senza vita e senza morte </i> o in una <i> stanza infinita senza porte o finestre </i>. Ci sono anche disegni di uccelli e di alcuni bambini."
EventInfoResuelta.button1,Continua
EventDiarioResuelto.text,Una lunga e antica pergamena, ma completamente vuota.
EventDiarioResuelto.button1,Continua
EventCajaResuelta.text,Un piccolo sarcofago di legno intagliato contenente il cadavere mummificato ma non fasciato di un gatto.
EventCajaResuelta.button1,Continua
EventDentroInvernadero2.text,"Un bel giovane con le forbici in mano, sta potando un campo di papaveri sparsi per terra. Non puoi distogliere lo sguardo dalla visione che ti trasmette molta calma.\n\nPosiziona il segnalino personaggio nel luogo designato. Hai la possibilità di spostarti di uno spazio nell'area esplorata."
EventDentroInvernadero2.button1,Continua
EventAtajoBastJardin.text,"Il tuo sguardo segue un sentiero di pietra ai tuoi piedi fino alla soglia della foresta, dove è seduto un gatto bianco stranamente molto grande. Gira la testa e ti fissa con gli occhi.\n\nPosiziona la <b>tessera Veranda {MAD20} </b> e un segnalino Gatto nel luogo designato. Rimuovi il segnalino <b> Vista </b>."
EventAtajoBastJardin.button1,Continua
EventSoloBastJardinColocado.text,"Segui con gli occhi un sentiero di pietra ai tuoi piedi fino alla soglia della foresta dove è seduto un gatto bianco stranamente molto grande. Gira la testa e ti fissa con gli occhi.\n\nPosiziona il segnalino Gatto nel punto designato. Elimina il segnalino <b> Vista </b>."
EventSoloBastJardinColocado.button1,Continua
EventColocarVistazoFinal.text,Posiziona un segnalino Vista come indicato.
EventColocarVistazoFinal.button1,Continua
EventLocuraCountdown1.text,"Senti i peli delle braccia e delle gambe rizzarsi. Quando respiri, una nuvola di vapore bianco e ghiacciato esce dalla tua bocca. Alzi lo sguardo e puoi vedere il cielo, quando invece dovrebbe esserci il soffitto. Vedi una luna piena blu così brillante che giureresti che emetta luce propria.\n\nPer un istante, ti sembra di vedere un'ombra che si muove sulla superficie del satellite e senza aver tempo per reagire, si avventa su di te. Un tenacolo scuro ti avvolge forte il collo. Hai il fiato corto e tutto il tuo corpo è paralizzato, irrigidito dal freddo.\n\n Tutti gli investigatori subiscono 1orrore ({will} -1 nega).\n\nRimuovi dalla partita la Tessera <b>Ufficio</b> e tutti i segnalini su di essa. Sostituiscila con la tessera <b>Cortile</b> come indicato. \nTutti gli Investigatori che si trovavano sulla tessera Ufficio vengono riposizionati sulla tessera Cortile mantenendo le stesse posizioni."
EventLocuraCountdown1.button1,Continua
EventResolucionTextoVerde.text,"Quando apri ed esamini il libro, vedi che è scritto a mano. Nelle prime pagine ci sono elenchi lunghi e ordinati e, sebbene non si conosca la lingua o i caratteri utilizzati, sembrano una sorta di catalogo.\nSfogli attentamente le pagine e diventano più caotiche. La scrittura delicata e strutturata si trasforma in frasi di diverso stile e linguaggio, sicuramente scritte da più persone, alcune più sane di altre ...\nLe poche parole che riesci a riconoscere e decifrare sono di disperazione e angoscia per essere intrappolato in una <i> scatola senza vita e senza morte </i> o in una <i> stanza infinita senza porte o finestre </i>. Ci sono anche disegni di uccelli e di alcuni bambini.\n\nOttieni 2 {clue} e acquisisci lo stato <b>Frastornato</b>."
EventResolucionTextoVerde.button1,Continua
EventMirarInfoReveladora.text,Un grosso tomo squisitamente rilegato in pelle. Sulla copertina si vedono quelli che sembrano essere strani simboli sconosciuti decorati d'oro. Sembra un libro degli ospiti di un hotel o un registro dei clienti.
EventMirarInfoReveladora.button1,{action} Esamina
EventMirarInfoReveladora.button2,Non fare nulla
EventInfoReveladoraEnMano.text,L'investigatore in possesso dell'Oggetto Unico <b> Prove Circostanziali </b> può interagire con esso tramite l'app.
EventInfoReveladoraEnMano.button1,Continua
EventDagaObjeto.text,"Finché un investigatore possiede l'oggetto comune <b> Pugnale Rituale </b>, \nottiene +1 a ({strength}; {agility}; {observation}; {lore}; {influence}; {will})."
EventDagaObjeto.button1,Continua
EventBiblia2.text,L'Investigatore che possiede l'Oggetto Unico<b> Scatola del Rompicato </b>può interagire con esso dal menu Oggetti.
EventBiblia2.button1,Continua
EventLocuraCountdown3.text,"Un lampo di luce bianca ti costringe a chiudere bene gli occhi per alcuni istanti. All'improvviso il suono di un tuono sembra esplodere dietro di te. È seguito da un silenzio assoluto. Ora puoi sentire una brezza fresca e umida sul tuo viso e un odore sgradevole di pesce marcio riempirti la bocca.\n  Tutti gli investigatori subiscono 1 orrore ({will} nega).\n\nRimuovi dalla partita la tessera <b>Disimpegno ad Angolo 2{MAD20}</b> e tutti i segnalini sopra di essa. Colloca la tessera <b>Pontile {MAD20}</b> come indicato. \nTutti gli investigatori presenti sulla tessera <b>Disimpegno ad Angolo 2{MAD20}</b> mantengono la stessa posizione sulla tessera <b>Pontile {MAD20}</b>."
EventLocuraCountdown3.button1,Continua
EventLocuraCountdown4.text,"Le pareti e il pavimento sembrano raggrinzarsi molto lentamente, è quasi impercettibile. Giureresti di aver visto occhi gialli fissarti dagli angoli della stanza.\n\n  Tutti gli investigatori subiscono 1 orrore ({will} nega).\n\nRimuovi dalla partita la tessera <b>Scale di Disimpegno {MAD20}</b> e tutti i segnalini su di essa. Muovi gli investigatori che si trovavano sulle <b>Scale di Disimpegno {MAD20}</b> sulla tessera <b>Disimpegno ad Angolo 2{MAD20}\n\n<b>Sposta il modulo Stanza da letto 1{MAD20}</b> dove indicato e rimuovere tutti i segnalini che si trovano su di essa.</b>"
EventLocuraCountdown4.button1,Continua
EventLocuraCountdown2.text,"Il pavimento trema così forte che i quadri alle pareti cadono, i mobili si spostano e pezzi del soffitto iniziano a cadere sulle tue spalle come fosse grandine. Quando smette di tremare, l'odore della muffa ti riempie il naso e un topo nero salta sulle tue gambe per cercare di morderti.\n\n Tutti gli Investigatori subiscono 1 danno ({agility} nega).\n\nRimuovi dalla partita la tessera <b>Cucina {MAD20}</b> e tutti i segnalini che si trovano su di essa. Posiziona la tessera <b>Magazzino</b> come indicato."
EventLocuraCountdown2.button1,Continua
EventMALMALINV.text,|||Il bambino ti abbraccia forte e ti sussurra all'orecchio: <i>\n"Io sono te e tu sei me, ora lo vedrai" </i>.\n\nTi vedi sdraiato, sembri addormentato e dovrebbe esserci qualcuno che piange accanto a te, ma sei solo, in mezzo al nulla, tutto è buio e ti manca il fiato. Vai verso un punto luminoso che non vuoi raggiungere e vedi il volto di quell'uomo, con gli occhi a mandorla che ti afferra la testa con le sue mani enormi e fredde per trascinarti verso la luce. Indica la tenda rossa e uno stormo di uccelli colorati la attraversa dirigendosi dritto verso di te.\nChiudi gli occhi e senti la voce di un bambino piccolo:\n- <i> Benvenuto a casa, Uccellino. - </i>.\n\nOttieni l'incantesimo <b> Protezione della carne</b>.\nL'investigatore subisce 2 orrori ({lore} nega), se subisci almeno 1 orrore acquisisci lo stato <b> Frastornato </b>.|||
EventMALMALINV.button1,Continua
EventDescifrarBaho2INV.text,"Le luci del bagno si spengono all'improvviso e l'aria si congela.\n\n  Piazza un segnalino oscurità in questo spazio. Tutti gli investigatori nello spazio del bagno subiscono 1 Orrore a faccia in giù ({will}-1 nega)."
EventDescifrarBaho2INV.button1,Continua
EventFinalCountdown2INV.text,"<b> {rnd:hero} </b> vede apparire davanti a lui la figura traslucida di un bambino, inclina la testa e con una vocina acuta dice: <i>\n- 2.- </i>"
EventFinalCountdown2INV.button1,Continua
EventFinalCountdown3INV.text,"<b> {rnd:hero} </b>vede apparire davanti a lui la figura traslucida di un bambino, inclina la testa e con una vocina acuta dice: <i>\n- 3.- </i>"
EventFinalCountdown3INV.button1,Continua
EventFinalCountdown4INV.text,"<b> {rnd:hero} </b> vede apparire davanti a lui la figura traslucida di un bambino, inclina la testa e con una vocina acuta dice: <i>\n- 4.- </i>"
EventFinalCountdown4INV.button1,Continua
EventExplosionFinal.text,"Le porte delle stanze svaniscono e le luci si spengono, una ad una, lasciando dietro di sé il nulla.\n\nRimuovi tutte le tessere dal gioco tranne <b>Cortile</b>, <b>Veranda</b>, <b>Biblioteca</b> e <b>Magazzino</b>. \n\nGli investigatori che si trovano sulle tessere <b>Disimpegno Chiuso</b>, <b>Scantinato</b> o <b>Disimpegno ad Angolo 3</b> possono effettuare una prova di ({agility};1) per muoversi nello spazio più vicino sulle tessere <b>Cortile</b>, <b>Veranda</b>, <b>Biblioteca</b> o <b>Magazzino</b>. \nIl resto degli investigatori viene inghiottito dall'oscurità e viene eliminato dal gioco."
EventExplosionFinal.button1,Continua
EventMythosHard05ANoPACT.text,"Un orologio suona da qualche parte nella casa. Ogni rintocco risuona rumorosamente in ogni stanza e una nuova fessura appare nel muro, nel pavimento e nel soffitto. Ne esce una densa massa nera, ricoperta di occhi gialli che ti guardano con una tale intensità che senti che potrebbe perforarti la pelle. Il tempo rallenta, è difficile muoversi. Il tuo corpo si appesantisce e gli occhi si chiudono involontariamente. Hai perso la cognizione del tempo. L'orologio continua a suonare cerimoniosamente, mentre tutto intorno a te si rompe e senti che questo rintocco potrebbe essere l'ultimo.\n\nSe non sono in gioco, posiziona le tessere <b>Scantinato {MAD20}</b> e <b>Veranda {MAD20}</b> come indicato."
EventMythosHard05ANoPACT.button1,Continua
EventMythosHard04INV.text,|||Questo evento dei miti ha effetto su tutti gli investigatori che non hanno un segnalino verde sulla loro tessera personaggio.\n\nUna canzone ti è entrata in testa e non puoi smettere di canticchiarla. Diventi così ossessionato dalla melodia che ad ogni secondo che passa la senti sempre più forte, pensi persino che ti accompagni cantando un coro di voci e per di più ti segue ovunque tu vada. Ti volti gridando <i> "Silenzio!" </i> e quando apri gli occhi vedi i tuoi avi sorridere e ti salutano. Ballano allegramente con le loro piccole gambe e braccia mentre continuano a cantare l'orribile canzone.\n\nOgni investigatore subisce 2 orrori ({will}-2 nega) e lascia cadere due oggetti casuali.|||
EventMythosHard04INV.button1,Continua
EventMythosHard03BINV.text,"<b> {rnd:hero}</b> vede qualcosa che luccica per terra. Si china per esaminarla e prende un ciondolo con attaccato un piccolo ferro di cavallo. Pare che stasera la fortuna sia con lui, poiché non ha notato come, per qualche istante, la carta da parati sia scomparsa, rivelando che i muri della casa sono fatti di ossa e viscere ancora vive e sanguinanti.\n\nTutti gli investigatori tranne <b> {rnd:hero}</b> subiscono 1 orrore ({influence}-2 nega)."
EventMythosHard03BINV.button1,Continua
EventHeridoCaidaSotanoINV.text,"Posiziona l'investigatore che era fuori dal gioco nella posizione designata nello scantinato. Questo investigatore subisce 2 danni.\nA causa dell'impatto con il suolo, ottiene lo stato <b> Stordito </b>."
EventHeridoCaidaSotanoINV.button1,Continua
EventMythosHard03AINV.text,"Questo evento dei Miti ha effettp su tutti gli Investigatori.\n\nUna melodia sinistra ti provoca un mal di testa atroce, le orecchie sanguinano e ti stringi forte la testa. Pensi che possa esplodere da un momento all'altro. Alcune mani si appoggiano delicatamente sulle tue, alzi lo sguardo e una ragazza ti dice:\n  <i> -Gli spiriti si rifiutano di ascoltare. - </i>\n\nSubisci 2 danni a faccia in giù ({strength} nega) e 2 orrori a faccia in giù ({will} nega)."
EventMythosHard03AINV.button1,Continua
EventMythosSoft07INV.text,"<b>{rnd:hero} </b> si appoggia un attimo al muro per riposarsi qualche secondo, quando all'improvviso si accorge di come qualcosa lo afferra per le caviglie e comincia a tirarlo forte verso il muro ({agility} 2)\n\nSe ha successo, riesce a liberarsi rapidamente e subisce 1 orrore ({will}-1 nega). Se fallisce, non può fare a meno di cadere a faccia in giù. Sunisce 1 danno e raccoglie uno dei suoi denti da terra."
EventMythosSoft07INV.button1,Continua
EventResPuzzleCaja.text,"Si sente un clic all'interno del sarcofago e si apre. Una strana sensazione di calma e libertà ti invade, anche se pensi di aver sentito un sospiro provenire dall'interno dopo averlo aperto e un brivido ti corre lungo la schiena. Subisci 1 Orrore a faccia in giù.\n\nAll'interno puoi vedere chiaramente una piccola mummia di gatto in buone condizioni. Dalla taglia diresti che è un neonato o un gatto molto giovane. Le bende che coprivano il corpo dell'animale sono larghe e sorprendentemente pulite. Pensi che potrebbero esserti utili a un certo punto. Ottieni l'oggetto comune <b> Bende </b>."
EventResPuzzleCaja.button1,Continua
EventInspeccionarCaja.text,Un piccolo sarcofago di legno lungo circa 20 centimetri. Sembra essere stato scolpito a mano velocemente e senza precisione, è ornato da strani simboli e ha la forma di una sagoma umana, anche se la testa è scolpita come se fosse un gatto. L'investigatore con l'oggetto unico <b> Scatola del Rompicapo </b> può interagire con esso per cercare di risolvere il puzzle {action}.
EventInspeccionarCaja.button1,{action} Risolvi
EventInspeccionarCaja.button2,Lascia Perdere
EventLeerViejoDiarioB.text,"Apri con attenzione.\nUna lunga pergamena si stende tra le tue mani come se per secoli avessero aspettato che qualcuno la liberasse.\nÈ pieno di lettere che non puoi comprendere e le parole che formano non hanno alcun senso per te. Tuttavia, leggere qualcosa di incomprensibile ti crea una brama di conoscenza. Hai la sensazione che la testa ti scoppi, ma ogni parola che leggi sembra essere più significativa della precedente, e la successiva sembra essere ancora più significativa della precedente ... Quindi, arrivi alla fine, continui finché non hai scoperto ciò che la pergamena nasconde. Hai capito tutto. Quello che hai appena letto scompare in pochi secondi e la pergamena diventa completamente vuota.\n\nSubisci 1 orrore e ottieni l'incantesimo <b>Mente Superiore</b> ."
EventLeerViejoDiarioB.button1,Continua
EventLeerViejoDiario.text,"Un'antica pergamena arrotolata e laccata di verde, in cui puoi vedere un simbolo che sembra una specie di Ankh modificato.\n\nL'investigatore che possiede l'oggetto unico <b> Vecchio Diario </b> può interagire con esso tramite l'applicazione {action}."
EventLeerViejoDiario.button1,{action} Leggi
EventResMarcadorFake3B.text,L'investigatore che possiede l'oggetto unico <b> Vecchio Diario </b> può interagire con esso tramite l'applicazione.
EventResMarcadorFake3B.button1,Continua
EventBuscarMesaDespachoINV.text,"Tra i petali di fiori colorati che riempiono il cassetto, brilla il quadrante di un vecchio orologio e un mazzo di chiavi arrugginite.\n\nOttieni l'oggetto comune <b> Orologio da Taschino </b> e l'oggetto unico <b> Vecchie Chiavi </b>.\nRimuovi questo segnalino Ricerca."
EventBuscarMesaDespachoINV.button1,Continua
EventMythosCampanarioINV.text,"Questo evento dei Miti colpisce tutti gli Investigatori che non si trovano in uno spazio del Campanile.\n\nIn lontananza si sente il lento rintocco di una campana. Il volume e la vibrazione aumentano a ogni colpo, fino a quando il terreno trema come se ci fosse un terremoto ({agility}:2). Se hai successo, riesci a mantenere l'equilibrio. Se fallisci, subisci 1 danno."
EventMythosCampanarioINV.button1,Continua
EventAbrirPuertaFake2INV.text,"La porta si apre verso l'interno. Per qualche istante la luce che arriva dall'altra parte ti acceca. Quando ti riprendi ti accorgi che alcune sbarre ti impediscono di varcare la soglia e quello che chiaramente identifichi come il volto di un bambino troppo cresciuto, passa dall'altra parte indicandoti e gridando:\n\n<i> -Mamma, mamma! Voglio questo! Voglio questo uccellino! -. </i>\n\nSbatti la porta e la blocchi con una sedia. Subisci 1 orrore ({lore}-1 nega) e ottieni 2 {clue}. Scarta questo segnalino Esplorazione."
EventAbrirPuertaFake2INV.button1,Continua
EventMythosCocinaINV.text,"Questo evento dei miti ha effetto su tutti gli investigatori in una cucina o in sala da pranzo.\n\nIl tavolo della sala da pranzo è apparecchiato per otto persone, la porcellana è di buona qualità e l'argenteria lucente è disposta meticolosamente. Mentre sei assorto nell'analisi degli intricati rilievi del decanter del vino, senti un sibilo e un dolore lancinante ti fa istintivamente appoggiare la mano sul collo. Quando controlli la mano, ti accorgi che è macchiata di sangue. Alzi lo sguardo e vedi un coltello conficcato nella parete opposta. Ti volti velocemente, ma non vedi nessuno. Subisci 2 Danni a faccia in giù e 1 Orrore a faccia in giù ({observation} nega). Se subisci almeno 1 anno diventi <b>Stordito</b>."
EventMythosCocinaINV.button1,Continua
EventRebuscarMuebleBarINV.text,Sembra che tutte le bottiglie siano vuote ({observation}).
EventRebuscarMuebleBarINV.button1,Continua
EventRebuscarMuebleBarINV.button2,Lascia perdere
EventFailRebuscarBar.text,Non noti nulla di interessante.
EventFailRebuscarBar.button1,Continua
EventMythosSoft03INV.text,"Questo evento dei miti ha effetto sull'investigatore con il maggior numero di oggetti.\n\nUn suono acuto si avvicina da dietro e all'improvviso vieni avvolto da una massa nera di piume e becchi che stridono intorno a te. Cominciano a beccarti e cercano di infilarsi sotto i tuoi vestiti.\n\n  Subisci 2 Danni a faccia in giù e 1 Orrore a faccia in giù ({agility} nega). Lascia cadere tanti oggetti casuali quanti sono i punti Danno e Orrore subiti."
EventMythosSoft03INV.button1,Continua
EventBusquedaFake1INV.text,"Ti avvicini con curiosità per esaminarli in dettaglio. Hanno tutti una carnagione estremamente pallida e occhi cuciti insieme con uno spesso filo nero. Portano un pendente nero ovale intorno al collo.\n\n  Ottieni 1 {clue}. Subisci quindi 1 Orrore a faccia in giù ({will}-2 nega).\nScarta questo segnalino Ricerca."
EventBusquedaFake1INV.button1,Continua
EventRezaryLlorarNO.text,Chiudi gli occhi e senti come l'aria entrare ed uscire dai polmoni calmando la tua mente. Riordini le idee e ti alzi da terra. Non hai paura.
EventRezaryLlorarNO.button1,Continua
EventAbrirPuertaFAKE1INV.text,"Apri la porta e hai a mala pena il tempo di reagire, quando un muro di mattoni ti cade addosso, lasciandoti quasi completamente sepolto sotto di esso. Quando torni alla luce e ti riprendi dalla botta, ti accorgi che la porta che hai aperto è completamente murata di mattoni pieni e quelli che erano per terra sono scomparsi.\n\n Subisci 2 danni a faccia in giù ({agility} nega), ottieni 1 {clue}. Scarta questo segnalino Esplorazione."
EventAbrirPuertaFAKE1INV.button1,Disperati
EventAbrirPuertaFAKE1INV.button2,Mantieni la calma
EventInspeccionPruebaCircum.text,Una nota scritta a mano su cui puoi leggere: <i> 1, 2, 3, 4 ... tre modi di suonare, uno solo per uscire. </i>
EventInspeccionPruebaCircum.button1,Continua
EventResolucionPuzzle1B.text,L'investigatore che possiede l'oggetto unico <b> prove circostanziali </b>, può interagire con esso attraverso l'applicazione.
EventResolucionPuzzle1B.button1,Continua
EventObservarDaga.text,"Un pugnale curvo come un artiglio di animale. La sua impugnatura dorata è decorata con rilievi di sagome di animali selvatici.\n\nL'investigatore con l'oggetto comune <b> Pugnale Rituale </b> ottiene +1 a tutti i suoi attributi mentre è in suo possesso.\n\nAttributi ({strength}; {agility}; {observation}; {lore}; {influence}; {will})"
EventObservarDaga.button1,Continua
EventIntroMission00.text,Durante questo gioco le prove che puoi raccogliere non contano come un oggetto e non possono essere influenzate dagli effetti dello scenario o dei Miti.
EventIntroMission00.button1,Continua
EventDifPesadilla.text,O tu che entri, abbandona ogni speranza!
EventDifPesadilla.button1,Continua
EventIntroDificultad.text,"Questo scenario ha due livelli di difficoltà. Seleziona con saggezza quale sfida vuoi affrontare.\n\nAttenzione: la modalità <b> Incubo </b> è progettata in modo che il gioco non venga risolto al primo tentativo."
EventIntroDificultad.button1,Incubo
EventIntroDificultad.button2,Difficile
EventDentroBibliotecaB.text,"Lo scaffale sembra avere una buona collezione di libri antichi.\n\nPosiziona il segnalino di ricerca nel punto designato.\nHai la possibilità di spostarti di uno spazio nell'area esplorata."
EventDentroBibliotecaB.button1,Continua
EventDentroDespachoB.text,"La scrivania al centro della stanza ha tre cassetti su un lato. Davanti alla porta c'è una libreria.\n\nPosiziona i segnalini di ricerca nelle posizioni designate. Hai la possibilità di spostarti di uno spazio nell'area esplorata."
EventDentroDespachoB.button1,Continua
EventMostrarSotanoCaidaC.text,"Si è aperto un passaggio nel muro.\n\nPosiziona il segnalino passaggio segreto come indicato."
EventMostrarSotanoCaidaC.button1,Continua
EventMostrarSotanoCaidaB.button1,Continua
EventDentroSotano3E.text,"Dalle fessure della porta filtra una luce blu intensa e rassicurante.\n\nPosiziona un segnalino Esplorazione come indicato."
EventDentroSotano3E.button1,Continua
EventDentroSotano3D.text,"Una fioca luce verde filtra dal perimetro della porta.\n\nPosiziona un segnalino Esplorazione come indicato."
EventDentroSotano3D.button1,Continua
EventDentroSotano3C.text,"Qualcuno ha ammucchiato della spazzatura ai piedi delle scale.\n\nPosiziona un segnalino Ricerca come indicato."
EventDentroSotano3C.button1,Continua
EventDentroSotano3B.text,"Il terreno fangoso sembra appena smosso in alcuni punti.\n\nPosiziona i segnalini di ricerca come indicato."
EventDentroSotano3B.button1,Continua
EventDentroSotano2E.text,"Una debole luce blu filtra attraverso il perimetro della porta.\n\nPosiziona un segnalino Esplorazione come indicato."
EventDentroSotano2D.text,"Una misteriosa e intensa luce verde filtra sotto la porta.\n\nPosiziona un segnalino Esplorazione come indicato."
EventDentroSotano2D.button1,Continua
EventDentroSotano2C.text,"Qualcuno ha ammucchiato spazzatura ai piedi delle scale.\n\nPosiziona un segnalino Ricerca come indicato."
EventDentroSotano2C.button1,Continua
EventDentroSotano2B.text,"Il terreno fangoso sembra appena smosso in alcuni punti.\n\nPosiziona i segnalini Ricerca come indicato."
EventDentroSotano2B.button1,Continua
EventDentroSotano1E.text,"Una luce fioca filtra sotto la porta.\n\nPosiziona un segnalino Esplorazione come indicato."
EventDentroSotano1E.button1,Continua
EventDentroSotano1D.text,"Qualcuno ha ammucchiato spazzatura ai piedi delle scale.\n\nPosiziona un segnalino Ricerca come indicato."
EventDentroSotano1D.button1,Continua
EventDentroSotano1C.text,"Una fioca luce verde filtra sotto la porta.\n\nPosiziona un segnalino Esplorazione come indicato."
EventDentroSotano1C.button1,Continua
EventDentroSotano1B.text,"Il pavimento di fango sembra appena rivoltato in alcuni punti.\n\nPosiziona i segnalini Ricerca come indicato."
EventDentroSotano1B.button1,Continua
EventMostrarSotanoAmarillo3.button1,Continua
EventMostrarSotanoAmarillo2.text,Posiziona un Muro come indicato.
EventMostrarSotanoAmarillo2.button1,Continua
EventDentroCampanario2.text,"Sembra che il campanile sia stato utilizzato come magazzino.\nPosiziona un segnalino Ricarca come indicato."
EventDentroCampanario2.button1,Continua
EventDentroPasilloLavabo3.text,"Ti stupisci che la poltrona nell'angolo sia ricoperta di piume colorate.\n\nPosiziona un segnalino Ricerca come indicato.\n  Puoi spostarti di uno spazio nell'area esplorata."
EventDentroPasilloLavabo3.button1,Continua
EventDentroPasilloLavabo2.text,"Di fronte si vede una porta di legno deformata dall'umidità.\nPosiziona un segnalino Esplorazione nel punto indicato."
EventDentroPasilloLavabo2.button1,Continua
EventDentroCocina5.text,"Sullo sfondo, una porta di legno è chiusa con quello che sembra un lucchetto.\n\nPosiziona un segnalino Esplorazione come indicato.\n\nPuoi muoverti di uno spazio nell'area esplorata."
EventDentroCocina5.button1,Continua
EventDentroCocina4.text,"I mobili della cucina hanno il vetro rotto.\nPosiziona un segnalino ricerca come indicato."
EventDentroCocina4.button1,Continua
EventDentroCocina3.text,"Attraverso il passaggio in cucina, vedi che qualcuno ha lasciato il frigorifero aperto e sul pavimento si è formata una pozzanghera di acqua sporca.\nPosiziona un segnalino Ricerca come indicato."
EventDentroCocina3.button1,Continua
EventDentroCocina2.text,"Accanto alla porta c'è un elegante mobile bar.\nPosiziona un segnalino Ricerca come indicato."
EventDentroCocina2.button1,Continua
EventVistazo2A.text,"Una serie di ritratti in bianco e nero di ragazzi e ragazze decorano le pareti della scala.\n\nPosiziona un segnalino Ricerca come indicato."
EventVistazo2A.button1,Continua
EventVistazo1D.text,"Il corridoio prosegue fino in fondo.\nPosiziona un segnalino<b> Vista</b> come indicato."
EventVistazo1D.button1,Continua
EventVistazo1A.text,Posiziona un Muro come indicato.
EventVistazo1A.button1,Continua
EventDesarrolloPasillo1AA.text,"Una vecchia scrivania barocca in legno rossastro contiene un grosso libro rilegato in pelle.\n\nPosiziona un segnalino Ricerca come indicato."
EventDesarrolloPasillo1AA.button1,Continua
TokenMarcadorFake2.text,Una scrivania di legno rossastro, appoggiata al muro del corridoio. Qualcuno ha lasciato dei fogli in cima.
TokenMarcadorFake2.button1,{action} Cerca
EventSalirHAB1E.text,Posiziona un Muro come indicato.
EventSalirHAB1E.button1,Continua
EventSalirHAB1D.text,Posiziona un Muro come indicato.
EventSalirHAB1D.button1,Continua
EventSalirHAB1C.text,Posiziona un Muro come indicato.
EventSalirHAB1C.button1,Continua
EventSalirHAB1B.text,"\nIl corridoio si estende a sinistra.\nPosiziona la Tessera<b> Disimpegno Chiuso</b> {MAD20}\n"
EventSalirHAB1B.button1,Continua
EventVistazoDentroHAB1.text,"Quando ti volti, qualcosa attira la tua attenzione.\n\nPosiziona i segnalini Ricerca come indicato."
EventVistazoDentroHAB1.button1,Continua
EventINTRO2Oscuridad.text,"Con la fonte di luce riesci a malapena a vedere qualcosa, sembra che potrebbe spegnersi in qualsiasi momento.\n\nPosiziona i segnalini Oscurità come indicato."
EventINTRO2Oscuridad.button1,Continua
